"Parcel.Number","old_height","new_height_rezoning","new_height_housing_choice","height_increase_rezoning","height_increase_housing_choice"
"0069015",40,40,50,FALSE,TRUE
"0069016",40,40,50,FALSE,TRUE
"0069020",40,40,50,FALSE,TRUE
"0069027",40,40,50,FALSE,TRUE
"0069069",40,40,50,FALSE,TRUE
"0069080",40,40,50,FALSE,TRUE
"0069081",40,40,50,FALSE,TRUE
"0069082",40,40,50,FALSE,TRUE
"0071003",40,40,50,FALSE,TRUE
"0071004",40,40,50,FALSE,TRUE
"0071005",40,40,50,FALSE,TRUE
"0071010",40,40,50,FALSE,TRUE
"0071011",40,40,50,FALSE,TRUE
"0071012",40,40,50,FALSE,TRUE
"0071015",40,40,50,FALSE,TRUE
"0071016",40,40,50,FALSE,TRUE
"0071017",40,40,50,FALSE,TRUE
"0071021",40,40,50,FALSE,TRUE
"0071025",40,40,50,FALSE,TRUE
"0071030",40,40,50,FALSE,TRUE
"0071032",40,40,50,FALSE,TRUE
"0071033",40,40,50,FALSE,TRUE
"0071041",40,40,50,FALSE,TRUE
"0071045",40,40,50,FALSE,TRUE
"0071065",40,40,50,FALSE,TRUE
"0071067",40,40,50,FALSE,TRUE
"0071069",40,40,50,FALSE,TRUE
"0071076",40,40,50,FALSE,TRUE
"0071079",40,40,50,FALSE,TRUE
"0071083",40,40,50,FALSE,TRUE
"0071086",40,40,50,FALSE,TRUE
"0071089",40,40,50,FALSE,TRUE
"0071095",40,40,50,FALSE,TRUE
"0071101",40,40,50,FALSE,TRUE
"0071111",40,40,50,FALSE,TRUE
"0072001",40,40,40,FALSE,FALSE
"0072003",40,40,40,FALSE,FALSE
"0072006",40,40,40,FALSE,FALSE
"0072008",40,40,40,FALSE,FALSE
"0072010",40,40,40,FALSE,FALSE
"0072012",40,40,40,FALSE,FALSE
"0072013",40,40,40,FALSE,FALSE
"0072015",40,40,40,FALSE,FALSE
"0072016",40,40,40,FALSE,FALSE
"0072018",40,40,40,FALSE,FALSE
"0072021",40,40,40,FALSE,FALSE
"0072022",40,40,40,FALSE,FALSE
"0072023",40,40,40,FALSE,FALSE
"0072024",40,40,40,FALSE,FALSE
"0072048",40,40,40,FALSE,FALSE
"0072050",40,40,40,FALSE,FALSE
"0072052",40,40,40,FALSE,FALSE
"0072055",40,40,40,FALSE,FALSE
"0072059",40,40,40,FALSE,FALSE
"0072071",40,40,40,FALSE,FALSE
"0073002",40,40,50,FALSE,TRUE
"0073003",40,40,50,FALSE,TRUE
"0073005",40,40,50,FALSE,TRUE
"0073006",40,40,40,FALSE,FALSE
"0073007",40,40,40,FALSE,FALSE
"0073008",40,40,40,FALSE,FALSE
"0073009",40,40,40,FALSE,FALSE
"0073011",40,40,40,FALSE,FALSE
"0073012",40,40,40,FALSE,FALSE
"0073014",40,40,40,FALSE,FALSE
"0073015",40,40,40,FALSE,FALSE
"0073016",40,40,40,FALSE,FALSE
"0073017",40,40,40,FALSE,FALSE
"0073018",40,40,50,FALSE,TRUE
"0073019",40,40,50,FALSE,TRUE
"0073020",40,40,50,FALSE,TRUE
"0073021",40,40,50,FALSE,TRUE
"0073022",40,40,50,FALSE,TRUE
"0073024",40,40,50,FALSE,TRUE
"0073025",40,40,50,FALSE,TRUE
"0073030",40,40,40,FALSE,FALSE
"0073033",40,40,40,FALSE,FALSE
"0073051",40,40,50,FALSE,TRUE
"0073063",40,40,50,FALSE,TRUE
"0074004",40,40,65,FALSE,TRUE
"0074005",40,40,50,FALSE,TRUE
"0074007",40,40,50,FALSE,TRUE
"0074008",40,40,50,FALSE,TRUE
"0074009",40,40,50,FALSE,TRUE
"0074012",40,40,65,FALSE,TRUE
"0074013",40,40,65,FALSE,TRUE
"0074018",40,40,50,FALSE,TRUE
"0074019",40,40,50,FALSE,TRUE
"0074022",40,40,50,FALSE,TRUE
"0074023",40,40,65,FALSE,TRUE
"0074026",40,40,65,FALSE,TRUE
"0074027",40,40,65,FALSE,TRUE
"0074028",40,40,65,FALSE,TRUE
"0074038",40,40,50,FALSE,TRUE
"0074039",40,40,50,FALSE,TRUE
"0074040",40,40,50,FALSE,TRUE
"0074041",40,40,50,FALSE,TRUE
"0074042",40,40,50,FALSE,TRUE
"0074043",40,40,50,FALSE,TRUE
"0074044",40,40,50,FALSE,TRUE
"0074045",40,40,50,FALSE,TRUE
"0074046",40,40,50,FALSE,TRUE
"0074047",40,40,65,FALSE,TRUE
"0074054",40,40,65,FALSE,TRUE
"0074061",40,40,50,FALSE,TRUE
"0074062",40,40,50,FALSE,TRUE
"0076001",40,40,40,FALSE,FALSE
"0076003",40,40,40,FALSE,FALSE
"0076004",40,40,40,FALSE,FALSE
"0076006",40,40,40,FALSE,FALSE
"0076007",40,40,40,FALSE,FALSE
"0076008",40,40,40,FALSE,FALSE
"0076009",40,40,40,FALSE,FALSE
"0076010",40,40,40,FALSE,FALSE
"0076011",40,40,40,FALSE,FALSE
"0076012",40,40,40,FALSE,FALSE
"0076013",40,40,40,FALSE,FALSE
"0076014",40,40,40,FALSE,FALSE
"0076015",40,40,50,FALSE,TRUE
"0076016",40,40,50,FALSE,TRUE
"0076017",40,40,50,FALSE,TRUE
"0076020",40,40,50,FALSE,TRUE
"0076022",40,40,50,FALSE,TRUE
"0076023",40,40,50,FALSE,TRUE
"0076024",40,40,40,FALSE,FALSE
